gene
SH3D19
FAM186A
LMAN2
GPS1
MTTP
SSTR3
DOT1L
HLA-DQB2
DRGX
SIGLEC5
PER1
BTBD3
CHRNA9
FAM111A
ADARB1
HNF1A
RIF1
PRAMEF11
NOTCH4
DHX35
WNT1
TLR2
RHOBTB2
TNFRSF10C
CAMKV
CCDC57
MYRIP
PCDHB12
CHD6
PGC
KRTAP27-1
BUB1B
SLC10A5
MAGEB6B
ALPK2
OR4D10
SEBOX
ZNF652
DSC2
MAP1LC3B
UMODL1
GARIN2
ZYX
LPL
ZNF572
UGT1A3
REPS2
REXO1
EPPK1
FAM171B
OR2AK2
CD70
TMEM232
FEZF1
TEC
PTCD1
CRB1
DPP4
PLSCR5
PCDH11X
BCHE
BLTP2
ZNF438
RTL3
ZNF730
KCNN3
POLR3C
MYCBPAP
ZXDA
ANAPC7
VDAC2
GABRB2
BPTF
TDRD1
OR5H6
FIP1L1
WDCP
ZBTB11
LMNTD1
DCAF12L1
ARVCF
SRSF2
ECE2
TMEM63A
ADGRV1
BMAL1
GRIA2
LRP5
NGF
CETN1
CXCL12
PTPRQ
IRX1
MED23
AIFM2
NEXMIF
IRF6
FCRLB
KLF18
UNC13D
CDC42EP1
PAQR9
ADORA3
PDE6G
KIF21B
CLEC4G
MYO1C
CAPN5
CECR2
ADRA2A
GK3
ST6GALNAC1
PCSK2
GRIN1
SLIT2
BMP8A
SLC16A7
GRIA3
ZNF608
DPEP1
NLRC4
DGKA
OPTN
KL
LATS2
CTTN
SNTG1
EWSR1
KCTD3
GABRG3
POTEG
CNTNAP3
SAMD9L
ITSN1
TTC7A
FRG1
SOX5
TMC6
SCPEP1
BDH1
FBXL18
TCERG1
STARD6
CALML6
OR10H2
SEPTIN9
BCAS1
OR56B4
PEAR1
PTPRE
ITSN2
STARD8
PNMA6F
GOLGA3
CDC42BPG
NLRP13
SLC6A4
SHROOM3
PANX3
FAM47A
CD2
AFG3L2
STPG2
TASOR2
TMIE
SOX2
ZNF878
MKRN3
ACTR2
DACH2
EFNB2
KPNA1
PCDHAC2
LUZP1
DEFB113
KCNQ5
DIAPH2
UBASH3A
SUSD2
PDGFC
SPATA31E1
DPYSL5
RPL3L
SERPINA4
SLITRK4
SDHC
SCP2
CRYBG2
PKP4
FEZ1
AFF3
JADE2
TAS2R43
ANP32E
LTBP4
POLQ
TLX1
FSTL3
EEF1A1
DICER1
SERTAD1
DBF4
PHACTR1
SREK1
PRKDC
CA9
ZNF230
PXN
MED6
MIB1
TCF23
ABCB11
SUSD4
ATG2A
PIWIL2
CNGB3
KRTAP9-1
CAPZA3
RFX2
STOX2
SLCO3A1
UBXN2B
IFIT3
LATS1
H1-7
BRINP2
SERPINA1
AHI1
HERC6
NFAT5
REG3G
CCNF
USF1
GPR15LG
CTNNBL1
FAM174B
GCC2
TAF3
TPM3
FUBP1
FANCM
AFAP1L2
SLC35B2
ALDH4A1
ZNF875
ZNF672
ZNF143
TSHZ1
TTC24
SPIRE1
OR10J5
KRT18
NDP
PTK7
SYTL4
LRRC3B
DUSP22
SYT8
EFCAB6
TMCO4
NR3C2
TMEM158
INO80
ATP2A2
TRMT1L
GARIN5B
HELZ2
KIF5A
HS3ST4
XIRP1
CHIC1
KLRC3
MS4A4A
SEL1L2
HMGCS2
FAM53C
DLX5
MCAM
CYP11A1
MAP2K2
CFHR4
TRAPPC12
ATP8A2
PIP4P2
MEN1
CHD8
NOD1
IGK
TRIM15
PRKCD
SOX13
USP16
VPS52
XIRP2
UBA3
OR4A15
MPL
RCC1
RRN3
GIMAP6
FEM1C
MYO5C
CHEK2
TAS2R16
WDR7
ANKS1A
KDM2B
RPS6KA4
ZNF722
RBBP6
RBM41
ITPR3
ZKSCAN2
DCAF6
MBTPS1
RIMBP3C
FOXI1
CDKL5
PRB2
TUBB1
LINGO2
SHLD2
