,HGNC Symbol
1246,MAST1
1248,NOTCH3
1250,PPP2R2C
1253,CDHR2
1257,ATP2A3
1262,NUAK1
1263,DPP8
1264,SLC24A1
1268,HACD3
1270,ZZEF1
1271,NOX3
1272,ENO1
1273,SLC12A1
1275,ANO8
1277,ARHGEF10L
1279,WSCD2
1280,KCNQ2
1282,ACTR6
1283,TIPIN
1285,EIF4G3
1287,SEMA3A
1289,SEMA3C
1293,CELSR1
1295,ZNF638
1298,ADD2
1300,RASAL2
1301,VPS9D1
1302,ZNF37A
1304,SLC25A3
1305,FNDC3B
1309,FRYL
1310,TMEM131
1311,FSCN1
1312,ACTB
1314,PLD1
1315,ATP12A
1316,WDR62
1323,TUBA3D
1328,MCM6
1332,BAZ2A
1333,PTPN23
1334,MLH1
1336,FMO4
1340,PLXNA2
1344,ACACB
1349,NT5C2
1350,MCAM
1351,GPC4
1353,CAMSAP3
1355,XAB2
1356,ARHGEF1
1358,MAP2K7
1361,CTTNBP2
1363,RARB
1364,TOP2B
1365,TM9SF3
1366,NFKB2
1369,DNAJC10
1370,GTF3C1
1371,IL4R
1372,USP33
1373,PAK3
1375,DCX
1378,EXOSC5
1380,APBB1IP
1381,LRCH4
1386,ACTN2
1387,CAPZB
1388,GPR137B
1389,NAALAD2
1392,UBE2A
1393,FLG
1396,FBLN1
1397,ITGA8
1401,AMPH
1402,ARAF
1403,MCCC1
1404,LAMP3
1405,FAP
1406,NEBL
1410,N4BP2
1412,TULP3
1414,ADCY2
1416,RBFOX1
1417,GNB1
1418,HOXA9
1419,EDN1
1420,MLLT10
1421,ZCWPW1
1422,ADCYAP1R1
1428,PCM1
1429,TNRC6C
1430,CBFA2T2
1431,BRINP1
1432,ITCH
1436,MYH14
1437,BPIFB2
1438,TP73
1442,RUNX1T1
1443,CDH17
1446,OSBPL6
1450,SP140
1452,TNS1
1453,REXO1
1461,LIPE
1464,OPHN1
1466,KIF22
1471,DNM2
1472,EPB41L2
1473,RIMS1
1474,MOXD1
1477,KEAP1
1478,DDX43
1479,PTPRH
1482,CRYBG3
1483,EPHA6
1484,SCTR
1488,SLC4A5
1489,SMARCA2
1490,RDH8
1494,COL5A3
1495,SRCAP
1496,PUM3
1499,KCNN2
1500,CNOT4
1502,CPOX
1505,HSP90AA1
1506,RBL1
1508,IGSF9B
1513,MAGI3
1515,AFP
1516,COL4A4
1520,IMPG2
1524,MEF2C
1525,PTPRC
1526,CACNA1S
1531,ZNF510
1532,LRP2
1533,ZNF506
1539,CADPS2
1540,PCDHB4
1541,PCDHA6
1542,PCDHGA2
1544,PHLPP1
1546,IL12RB2
1548,WDR70
1549,FYB1
1553,PGR
1557,CCNT2
1558,FAM135A
1559,COL19A1
1560,EPB41L3
1562,DLG3
1563,KCNK2
1564,SERTAD4
1567,GEMIN5
1568,OPRK1
1569,NRF1
1570,SEMA5B
1571,GSK3B
1573,ERC1
1574,XPO1
1576,TRPM3
1577,PALB2
1578,DOP1A
1581,KAT6A
1582,TUT7
1583,ULK2
1584,GRHL2
1585,TNPO1
1586,PLOD1
1588,ITGAE
1589,DIS3
1590,PIBF1
1592,NUFIP1
1593,PDS5B
1594,OXCT1
1595,RRAGB
1596,EPYC
1597,CYLD
1598,SLC27A5
1599,ZNF324
1601,ZNF416
1603,ZNF446
1606,FAT1
1607,YTHDC1
1613,NOA1
1614,REST
1616,SSH1
1618,APPL2
1622,EIF3I
1623,NKAIN1
1626,APOB
1627,NCOA1
1629,EFR3B
1633,HADHA
1638,BCORL1
1639,ATRX
1643,MECOM
1646,HACE1
1648,WDR47
1650,OVGP1
1651,SLC25A24
1652,MAP3K4
1654,IGSF9
1655,ABCB1
1659,RRN3
1660,CTTN
1663,DDHD2
1664,TTC39A
1665,EPS15
1670,USP40
1672,RAD54L
1674,DNAJA1
1678,AQP6
1679,DIMT1
1681,FOLH1
1682,EIF2AK1
1683,NME8
1684,EPDR1
1685,SNX10
1691,FAT2
1697,TXLNG
1698,PPEF1
1700,HUWE1
1703,MYBPC2
1704,NOX4
1712,SRRT
1713,BAX
1714,NLK
1716,ADAMTS2
1717,TMPRSS11E
1718,ATXN7L3
1720,PSMC5
1721,UIMC1
1725,LPCAT2
1728,SH3BP2
1731,L2HGDH
1734,NID2
1735,GMCL1
1736,SF3B2
1737,KLHL42
1738,GNAS
1739,DNM1L
1741,PHACTR3
1743,TFAP2C
1745,CASS4
1748,RFX2
1749,METTL2A
1752,CNOT3
1754,PTPN4
1755,HAS1
1756,KHSRP
1757,GNA11
1758,ASAP3
1759,EDEM2
1760,DNMT3B
1761,REM1
1763,PDRG1
1764,EPB41L1
1765,SLC15A1
1766,DOCK9
1768,TGDS
1769,DOCK3
1774,ARHGAP28
1779,SMO
1780,SIGLEC1
1783,SLC4A11
1785,ZNF343
1786,EBF4
1788,MAVS
1789,LZTS3
1790,F11
1791,XRN2
1797,SIRPG
1798,MAPKAPK5
1800,ESF1
1802,ANAPC5
1805,TMEM230
1806,DZANK1
1807,KDM2B
1808,CFAP61
1812,GCN1
1813,RPLP0
1814,PXN
1816,RPH3A
1817,KIF16B
1819,CHGB
1824,NOS1
1825,FUS
1829,GRAMD1A
1830,FXYD3
1831,HEPH
1834,ELK1
1835,GANAB
1837,RBM41
1845,ARHGAP4
1846,ANKRD24
1850,LTBP4
1852,SLC9A1
1854,PAPOLA
1855,CCNK
1864,STRN4
1869,TFAP4
1874,P3H2
1875,TPO
1876,CHRD
1878,RAB11FIP3
1880,ZNF268
1881,GOLGA3
1882,PABPC4
1883,CD209
1885,MCOLN1
1886,USP48
1888,PDPR
1890,GLG1
1892,TNRC6A
1893,PLEKHG2
1894,DLL3
1896,PITPNM2
1898,RBM27
1899,POU4F3
1900,OSBPL8
1902,NLRC4
1903,PUS7
1904,LAMB4
1905,NRCAM
1906,LAMB1
1908,SLC26A3
1910,WDR7
1913,ABCC6
1916,RAPGEF4
1919,FH
1920,SEL1L3
1921,TF
1923,MYO15A
1926,NLRP1
1927,PITPNM3
1930,ZFHX4
1931,SLC17A6
1933,ZC3HC1
1934,ESR1
1936,ANGPT2
1938,CD200
1939,CCDC80
1942,PPP2R3C
1943,HAUS4
1950,RNF31
1952,G2E3
1953,HECTD1
1955,RPGRIP1
1963,SEMA6A
1964,TRPM7
1965,TYRO3
1969,TBX15
1971,COL9A3
1972,EZR
1976,CLSPN
1978,UNC13D
1980,DPYSL2
1984,CDC45
1990,XYLB
1991,HDAC6
1994,KRT31
2001,SUCO
2002,MSH2
2003,MAP3K1
2011,PTGS1
2012,NUP188
2013,CRAT
2021,BTAF1
2024,TLL2
2026,TDRD1
2027,SORBS1
2028,CRTAC1
2031,MYO3A
2032,WAC
2035,TPSD1
2037,HIVEP1
2040,CRISP3
2042,SRPK1
2043,BRPF3
2045,PGC
2046,TMEM14A
2049,HSP90AB1
2052,ITPR3
2054,DSP
2058,JAK2
2060,ABL1
2062,SH3GLB1
2063,CDC7
2064,SYDE2
2065,PCSK5
2071,NRP1
2072,PRTFDC1
2074,TSPAN15
2076,WASHC2A
2077,MAST3
2078,MZF1
2080,MYO9B
2082,CATSPERG
2087,SETD1A
2097,HNRNPM
2105,CEP170B
2107,POLRMT
2109,CDHR5
2111,RASSF7
2113,PALM
2114,MADCAM1
2115,MKNK2
2116,ARVCF
2117,TRMT2A
2123,SNAP29
2125,LZTR1
2127,CECR2
2128,SMARCB1
2129,P2RX6
2132,BCL2L13
2137,CABIN1
2139,SUSD2
2141,GGT5
2146,PPIL2
2151,MAPK1
2152,GGT1
2154,PPM1F
2156,TOP3B
2162,CIC
2163,GRK3
2169,SEZ6L
2175,PATZ1
2176,TRIOBP
2177,TFIP11
2184,MICALL1
2188,DEPDC5
2189,PICK1
2190,TTC28
2191,SLC16A8
2193,SEPTIN3
2195,SLC5A4
2197,CYP2D6
2198,DDX17
2199,DMC1
2200,TCF20
2204,RSPH14
2210,POLDIP3
2213,PPP6R2
2214,SBF1
2215,SUN2
2225,AP1B1
2227,TOM1
2228,NEFH
2233,THOC5
2235,APOBEC3H
2239,TTLL12
2240,CBX7
2241,PDGFB
2246,RBFOX2
2250,MTMR3
2253,PNPLA5
2255,PNPLA3
2256,MYH9
2257,CACNA1I
2258,SAMM50
2261,GRAP2
2263,TNRC6B
2264,SGSM3
2269,CSF2RB
2277,EP300
2283,ACO2
2288,CERK
2289,BRD1
2290,ZBED4
2293,KCNK10
2295,KHNYN
2297,SDR39U1
2298,CTSG
2299,GZMH
2300,GZMB
2301,RBM23
2307,SOS2
2309,NIN
2310,PYGL
2311,TRIM9
2325,TIMM9
2328,TMED8
2331,DAAM1
2334,RIN3
2337,SNW1
2339,ITPK1
2344,ASB2
2345,CEP128
2347,HIF1A
2348,SUSD6
2351,EIF5
2352,SERPINA4
2353,SLC8A3
2354,DICER1
2357,TCL1A
2359,TELO2
2360,PCNX1
2361,BDKRB1
2365,PAPLN
2366,RPS6KA5
2370,YY1
2371,ACIN1
2372,CCNB1IP1
2373,TRIP11
2377,ARHGAP5
2378,CINP
2380,SRP54
2382,CHD8
2383,PCK2
2385,DCAF11
2387,NFKBIA
2388,EMC9
2395,PNN
2397,NFATC4
2399,PCIF1
2401,MMP9
2404,PYGB
2406,PROCR
2408,NINL
2410,UQCC1
2411,ZMYND8
2414,MYBL2
2415,R3HDML
2416,HNF4A
2420,NFATC2
2421,RIMS4
2423,STK4
2424,SALL4
2425,ADNP
2427,DOK5
2428,CSTF1
2429,BMP7
2436,TUBB1
2442,NTSR1
2445,DIDO1
2447,SLC17A9
2452,COL20A1
2453,CHRNA4
2455,PTK6
2456,GMEB2
2464,SEL1L2
2465,TRIB3
2467,CSNK2A1
2472,PROKR2
2474,SNPH
2475,MYLK2
2476,SIRPB1
2479,HAO1
2480,PDYN
2482,PLCB4
2484,HCK
2485,TM9SF4
2487,CRNKL1
2489,SAMHD1
2490,PAK5
2497,JAG1
2499,SNTA1
2501,TTI1
2502,E2F1
2503,RPRD1B
2508,SLC32A1
2519,DHX35
2522,SYNDIG1
2528,ZNF516
2529,CDH7
2532,USP14
2536,SMCHD1
2537,MYOM1
2539,CEP76
2540,ST8SIA5
2541,CEP192
2543,SMAD7
2544,LIPG
2545,LAMA1
2547,ANKRD12
2548,NOL4
2550,MIB1
2551,RBBP8
2555,MXRA5
2563,POLA1
2564,MID1
2565,NKAP
2568,GUCY2F
2571,ALG13
2573,TLR8
2576,CHRDL1
2581,GLRA2
2583,STAG2
2584,ATP11C
2585,MCF2
2587,ABCD1
2589,CACNA1F
2597,ELF4
2598,SMARCA1
2599,MTMR8
2600,ASB9
2601,ZC3H12B
2602,RBBP7
2604,KCND1
2607,FMR1
2608,PIM2
2609,SCML2
2618,GATA1
2621,PHEX
2625,GPR50
2630,PCYT1B
2633,VGLL1
2636,KLHL4
2637,GABRE
2638,PCDH11X
2639,FGD1
2642,ITIH6
2647,SYTL4
2657,NALCN
2658,FGF14
2659,HTR2A
2661,TNFSF13B
2665,CAB39L
2666,KLF5
2670,UGGT2
2671,ARHGEF7
2673,SGCG
2674,PARP4
2675,SUPT20H
2676,MRPS31
2677,ORC1
2679,FLT1
2681,VWA8
2682,DGKH
2685,CAD
2688,TSC22D1
2691,MSLN
2692,MGRN1
2694,TRADD
2704,NUP93
2707,NFAT5
2708,LONP2
2709,N4BP1
2710,CBLN1
2713,ZNF423
2717,CTCF
2718,ACD
2722,MMP15
2730,SETD6
2734,TANGO6
2737,SLC7A6OS
2742,WDR59
2743,MON1B
2745,AXIN1
2747,NPRL3
2749,MPG
2750,NECAB2
2759,TSC2
2761,NME4
2762,ABCC1
2768,CLCN7
2776,NUBP1
2777,UBE2I
2779,MEFV
2781,EEF2K
2783,PIEZO1
2784,GSPT1
2785,ZNF174
2792,AQP8
2793,CPPED1
2794,USP31
2799,SALL1
2801,RBL2
2803,XYLT1
2805,RPGRIP1L
2806,MAZ
2810,KAT8
2811,NOMO1
2812,IL21R
2813,SYT17
2814,TMC5
2817,SLC6A5
2818,RNF40
2821,AAGAB
2826,HERC1
2830,AP3B2
2832,IGDCC4
2833,RAB11A
2838,CEMIP
2839,RPAP1
2842,TMEM87A
2843,ZNF106
2844,CEP152
2845,ATP8B4
2846,OCA2
2847,DTWD1
2851,TJP1
2853,DMXL2
2854,SCG3
2857,SPG11
2863,MYEF2
2864,SGK2
2865,PDGFRL
2869,TRIM35
2872,CA2
2876,EYA1
2878,TRPA1
2879,CPQ
2880,DECR1
2888,IKBKB
2889,PLAT
2890,JPH1
2895,EIF3E
2896,EMC2
2897,ESRP1
2898,CCN4
2899,NDRG1
2904,TRPS1
2909,GML
2910,UBR5
2919,ERI1
2928,PPP2CB
2929,ERICH1
2930,NEFM
2931,TUSC3
2932,ARHGEF10
2934,MCM4
2935,ADAM2
2940,MAN2B1
2941,IK
2945,GYS1
2953,TUBB4A
2958,RELB
2959,CLASRP
2965,ARHGEF18
2966,PPP1R13L
2968,MAG
2969,DOT1L
2978,LYL1
2984,DMPK
2986,RSPH6A
2988,IL4I1
2993,NOVA2
2995,LILRB1
2996,MED25
2997,LILRA1
3000,TIMM44
3002,IL27RA
3011,RASAL3
3012,AKAP8
3014,ILVBL
3015,ZNF419
3016,SYDE1
3017,CASP14
3021,CCNE1
3024,ANKRD27
3027,LGALS13
3029,DYRK1B
3033,AKT2
3034,PLD3
3035,PRX
3036,PIAS4
3046,ZFR2
3047,SLC1A5
3048,PRKD2
3049,TJP3
3050,APLP1
3051,CACTIN
3053,HNRNPUL1
3054,CDH1
3057,DENND3
3063,SIGLEC8
3064,CD79A
3068,NOP53
3070,ICAM5
3071,ETFB
3073,CEACAM5
3074,CRX
3077,SULT2A1
3080,RABAC1
3081,ATP1A3
3083,PTPRS
3086,MEGF8
3088,CYTH2
3090,GRIN2D
3091,SYNGR4
3094,CARD8
3096,SIGLEC6
3107,RASIP1
3111,MIER2
3112,PLEKHA4
3113,PPP2R1A
3114,TNPO2
3117,GCDH
3120,DNASE2
3125,JAK3
3130,PIK3R2
3131,RAB3A
3134,ELL
3135,CRTC1
3138,COPE
3141,ATP4A
3148,USF2
3149,LSR
3151,FKBP8
3153,HPN
3154,ZNF14
3157,ERF
3159,ATP13A1
3161,GRIK5
3162,SIPA1L3
3163,ZNF85
3168,RUNDC3B
3171,RASA4
3172,CDK6
3175,TFPI2
3179,PIK3CG
3180,PON3
3182,ITGB8
3185,SP4
3187,DNAH11
3189,DLX5
3191,STEAP1B
3192,PTN
3195,ATP6V0A4
3198,OGDH
3200,ADAP1
3201,TFEC
3213,LFNG
3214,HOXA5
3215,HOXA6
3216,BRAT1
3217,IQCE
3219,VIPR2
3220,TSPAN12
3222,HOXA13
3224,EVX1
3225,HIBADH
3226,TAX1BP1
3229,GRB10
3231,COBL
3233,PLEKHA8
3235,NOD1
3238,EPHB6
3239,MINDY4
3244,HSPB1
3245,NPTX2
3247,BUD31
3248,PTCD1
3254,PTPRZ1
3261,FSCN3
3263,PAX4
3264,PCOLCE
3266,PPP1R17
3268,USP42
3278,ZNHIT1
3280,NOBOX
3281,GLCCI1
3286,EZH2
3288,ZNF862
3289,SFRP4
3294,POU6F2
3297,AGR2
3298,AHR
3299,CHCHD3
3302,GLI3
3306,BLVRA
3310,PRKAG2
3311,AEBP1
3312,POLD2
3318,GALNT15
3319,CLIP2
3327,CNTNAP3
3331,PRUNE2
3332,MEGF9
3335,TGFBR1
3337,C5
3344,SUSD1
3346,AKNA
3347,TNFSF8
3356,RIC1
3358,DOCK8
3359,KANK1
3360,ELAVL2
3363,KCNT1
3364,CA9
3366,TYRP1
3374,GLIS3
3375,BAG1
3376,RAPGEF1
3378,APBA1
3379,SETX
3382,ABCA2
3383,SHB
3388,DVL1
3391,DNTT
3392,GATA3
3393,ATRNL1
3397,DNMBP
3399,CXCL12
3402,PKD2L1
3403,CUBN
3405,DDX50
3412,UNC5B
3413,CDH23
3419,BMPR1A
3420,MINPP1
3423,TLX1
3427,KAZALD1
3428,FBXW4
3431,TNKS2
3433,GBF1
3434,ARHGAP21
3435,CPEB3
3438,SUFU
3439,ANKRD26
3440,ACBD5
3444,EDRF1
3445,BCCIP
3447,NEURL1
3448,SH3PXD2A
3449,PITRM1
3451,MAP3K8
3453,EBF3
3455,SORCS1
3456,TASOR2
3457,XPNPEP1
3458,SMC3
3461,CCDC6
3466,ZMIZ1
3468,PPIF
3471,LGI1
3472,TBC1D12
3473,CYP2C18
3478,RPL19
3481,UBTF
3484,CASC3
3486,RGS9
3487,RNF43
3492,MTMR4
3493,TRIM37
3495,DHX40
3497,TUBD1
3498,KPNB1
3508,CAMTA2
3509,MED13
3512,PFN1
3514,SLC25A11
3517,RAI1
3520,SLC6A4
3522,CPD
3523,GOSR1
3526,DRG2
3527,FTSJ3
3528,AKAP10
3529,ALDH3A1
3535,DDX5
3538,PSMD11
3539,LGALS3BP
3540,ASIC2
3545,PEX12
3547,DHX58
3548,KAT2A
3553,CNTNAP1
3554,ABI3
3558,COL1A1
3560,AARSD1
3566,HDAC5
3567,ABCC3
3570,DLG2
3571,SMURF2
3574,EFTUD2
3575,HLF
3577,PRKAR1A
3579,FAM20A
3580,YWHAE
3583,DPH1
3586,WSB1
3587,RCVRN
3588,MYH1
3590,MYH3
3594,TNFAIP1
3597,CDR2L
3598,SP110
3601,ALDOC
3602,SUPT6H
3605,PHOX2B
3607,GABRA4
3608,GNRHR
3610,OCIAD1
3611,UGT2B10
3612,CWH43
3615,SULT1E1
3620,CRACD
3623,NFKB1
3624,AREG
3631,TBC1D9
3633,INPP4B
3635,KLHL2
3636,IL2
3643,FRG1
3644,CLCN3
3650,CPZ
3653,FBXW7
3655,TBC1D19
3656,CLNK
3657,NSD2
3658,SH3D19
3662,GLRB
3664,RAPGEF2
3665,HGFAC
3666,SNX25
3667,LRP2BP
3669,KLF3
3672,NCAPG
3673,UGDH
3674,PPARGC1A
3681,ZBTB16
3684,MTCH2
3685,FNBP4
3686,TECTA
3687,SC5D
3689,JHY
3690,B3GAT1
3691,HSPA8
3693,VWA5A
3699,ATG2A
3700,EHD1
3702,UNC93B1
3703,PUS3
3705,KMT5B
3707,PPP6R3
3708,NRXN2
3709,MS4A6A
3710,MS4A4A
3712,CPT1A
3713,CCND1
3715,PRPF19
3717,CCKBR
3724,PANX1
3725,ARHGEF17
3730,ZNF230
3733,IL10RA
3734,GALNT18
3737,DDX6
3739,CBL
3741,HIPK3
3742,KIAA1549L
3747,SLC15A3
3749,ACCS
3753,MADD
3756,CARS1
3765,PITPNM1
3768,NUP98
3770,TCIRG1
3772,EXPH5
3775,POU2AF1
3777,VWF
3778,PSMD9
3780,PPFIBP1
3783,PRDM4
