,HGNC Symbol
3392,GATA3
1349,NT5C2
7495,FBXO11
13640,ETV4
1358,MAP2K7
15695,PTMA
7505,CYP2C8
1366,NFKB2
9560,MSI2
17753,DDX3X
3419,BMPR1A
5470,USP9X
3423,TLX1
3435,CPEB3
3438,SUFU
1392,UBE2A
1393,FGFR1
7536,TET1
7540,ATIC
1396,FBLN1
7542,BARD1
1402,ARAF
11650,LMO1
7555,IDH1
3461,CCDC6
15750,FANCA
1416,RBFOX1
1418,HOXA9
1420,MLLT10
7573,USP8
5527,DEK
11676,PRKCB
3487,RNF43
17824,FANCG
1442,RUNX1T1
1450,SP140
7608,RAP1GDS1
5561,SOX21
9660,XPC
5565,IRF1
9662,FGD5
1471,DNM2
9663,FLCN
1477,KEAP1
11717,B2M
5577,SOX9
3535,DDX5
17871,PPT2
7632,ENPEP
7634,LEF1
7640,PPP3CA
7643,FBN2
1505,HSP90AA1
15845,ZNF626
7654,ETV6
3558,COL1A1
5608,PAX8
15851,NUTM2B
11761,NAB2
11763,STAT6
7667,ETNK1
1525,PTPRC
3574,EFTUD2
7668,ZCRB1
3577,PRKAR1A
3580,YWHAE
7684,COL2A1
7688,LRIG3
11785,SMAD3
5644,FOXA2
13843,POLE
3605,PHOX2B
1573,ERC1
1574,XPO1
13863,RPS6KA3
9768,RASA2
1577,PALB2
1581,KAT6A
3636,IL2
1589,DIS3
7738,BRCA2
1597,CYLD
5693,MAX
17983,LTB
9790,GNAQ
9791,WIF1
3653,FBXW7
1606,FAT1
3657,NSD2
20041,H3C2
11851,CDK12
13897,TGIF1
7757,RB1
5712,KDM5C
7760,SETD1B
1627,NCOA1
3681,ZBTB16
13925,TBL1XR1
1638,BCORL1
1639,ATRX
1643,MECOM
13933,JUN
11886,TPM4
5743,CCR7
5747,BCL2L12
1655,ABCB1
15993,ALB
9852,PHF6
5757,SBDS
1665,EPS15
3713,CCND1
11907,KMT2D
5762,WNK4
9862,KAT6B
13961,FLI1
7819,TCF12
5772,ZNF384
5774,SSX1
5781,KTN1
9878,PRR14
5782,SIX1
3737,DDX6
3739,CBL
1691,FAT2
9894,BUB1B
5799,NUP214
9896,EIF4A2
7847,NCOA2
16040,ARID2
5803,MAP2K2
3756,CARS1
1713,BAX
7859,PML
14003,MLF1
3768,NUP98
3770,TCIRG1
14011,PDE4DIP
14012,DDX10
5819,BCL11B
3775,POU2AF1
9919,NRG1
3780,PPFIBP1
11973,KLK2
7879,NTRK3
5832,PTPRB
1738,GNAS
16077,FHIT
7888,CRTC3
1752,CNOT3
9945,CACNA1D
3803,BCL7A
9947,KIT
1757,GNA11
3812,GLI1
18151,HLA-B
7913,ZFHX3
9964,ERG
5870,SMARCA4
16112,PTPRT
16114,PAX5
9971,CREB3L1
7924,CDH11
3833,SH2B3
5883,RNF6
3837,DUSP16
14078,MAF
9983,BRAF
9984,SLC34A2
3841,CDKN1B
5890,HIP1
14077,ERBB4
16137,FAT4
7946,NCOR1
14092,SUZ12
9998,TNFRSF14
12051,CTNNB1
5909,KDR
16153,SRGAP3
5914,DGCR8
1825,FUS
7969,NPEPPS
12068,PAFAH1B2
3882,CHD4
7979,CLTC
7983,SS18
12083,HOOK3
10037,FANCC
18231,KIFC1
3897,PTPN6
5951,POT1
16195,TRRAP
1869,TFAP4
8014,TP53
5968,SMO
12112,PCMTD1
1888,PDPR
5988,HOXD11
5989,HOXD13
5990,HERC2
14186,CALR
8043,SMAD4
12138,RHOH
16241,NCOR2
10097,ELK4
6003,INO80
10099,SLC45A3
14197,PTPN11
3957,FANCE
8052,ERBB2
3964,SRSF3
14205,GATA2
1919,FH
8064,BRD4
8073,VAV1
6028,MYOD1
8077,SH3GL1
16270,MRTFA
1934,ESR1
12179,STAT3
6038,USP6
14233,CIITA
8089,IFNAR1
12186,AXIN2
12195,IL7R
8100,AKT1
12197,LRP1B
14253,APOBEC3B
16304,NF1
12209,TET2
10163,RUNX1
1972,EZR
6067,AJUBA
6071,FOXA1
4038,QKI
4042,TFEB
4044,CCND3
8144,PRDM16
2002,MSH2
2003,MAP3K1
8149,EPHA2
16352,ARHGEF12
6115,CBFA2T3
8173,HSPG2
8176,BCL10
12274,MAP2K1
16373,WDR45
16376,ZNF429
